unique_part_identifier,part_type,production_batch_id,cycle_start_timestamp,pressure_cycle_end_timestamp,max_pressure,peak_pressure_timestamp,time_to_peak_min,avg_pressure,pressure_variance,pressure_duration_min,casting_temperature_C,temperature_timestamp,silicon_content_percent,silicon_timestamp,pressure_outlier,temperature_outlier,silicon_drift_alert,missing_alignment_alert,temperature_stability_index,unified_part_quality_index,production_hour,production_day
PART_000,Engine_Block,BATCH_001,2024-01-15 00:00:00,2024-01-15 00:29:50,5.060266950690282,2024-01-15 00:21:30,21.5,3.5572804350535394,0.8458668178156977,29.833333333333332,724.1592265905759,2024-01-15 00:08:58.770206,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,0,2024-01-15
PART_001,Engine_Block,BATCH_001,2024-01-15 00:30:00,2024-01-15 00:59:50,5.036087963764407,2024-01-15 00:52:00,22.0,3.549330023685899,0.8428008336005578,29.833333333333332,709.0924628417775,2024-01-15 00:37:43.365368,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,0,2024-01-15
PART_002,Engine_Block,BATCH_001,2024-01-15 01:00:00,2024-01-15 01:29:50,5.083230294495101,2024-01-15 01:21:10,21.166666666666668,3.53858377717912,0.8674228805499543,29.833333333333332,728.3720948672868,2024-01-15 01:02:42.984678,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,1,2024-01-15
PART_003,Engine_Block,BATCH_001,2024-01-15 01:30:00,2024-01-15 01:59:50,5.0389363253073505,2024-01-15 01:51:20,21.333333333333332,3.534550706328864,0.8629090208455046,29.833333333333332,727.2379941644442,2024-01-15 01:38:18.712774,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,1,2024-01-15
PART_004,Engine_Block,BATCH_001,2024-01-15 02:00:00,2024-01-15 02:29:50,5.077970143410157,2024-01-15 02:21:10,21.166666666666668,3.5446290042637494,0.8671295115467228,29.833333333333332,708.3875554751965,2024-01-15 02:03:07.729748,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,2,2024-01-15
PART_005,Engine_Block,BATCH_001,2024-01-15 02:30:00,2024-01-15 02:59:50,5.016542552710913,2024-01-15 02:51:10,21.166666666666668,3.5428618181027747,0.8626965382636729,29.833333333333332,730.7735980986228,2024-01-15 02:37:23.424232,1.0212948592633897,2024-01-14 22:46:26.572110,False,False,False,False,88.34,88.3,2,2024-01-15
PART_006,Engine_Block,BATCH_001,2024-01-15 03:00:00,2024-01-15 03:29:50,5.06039046542305,2024-01-15 03:21:00,21.0,3.530752152530608,0.8606905285473172,29.833333333333332,704.7855790793451,2024-01-15 03:04:37.784199,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,True,False,88.34,68.3,3,2024-01-15
PART_007,Engine_Block,BATCH_001,2024-01-15 03:30:00,2024-01-15 03:59:50,5.059932068599553,2024-01-15 03:51:00,21.0,3.544283583466563,0.8459582535929387,29.833333333333332,737.6340404591853,2024-01-15 03:31:37.189756,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,3,2024-01-15
PART_008,Engine_Block,BATCH_001,2024-01-15 04:00:00,2024-01-15 04:29:50,5.068793308659198,2024-01-15 04:21:00,21.0,3.5457597220507076,0.8481288838282436,29.833333333333332,721.948388189856,2024-01-15 04:01:46.817718,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,4,2024-01-15
PART_009,Engine_Block,BATCH_001,2024-01-15 04:30:00,2024-01-15 04:59:50,4.997701499604143,2024-01-15 04:51:00,21.0,3.539153441902222,0.8506120398594376,29.833333333333332,713.0292108719931,2024-01-15 04:38:29.183039,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,4,2024-01-15
PART_010,Engine_Block,BATCH_001,2024-01-15 05:00:00,2024-01-15 05:29:50,4.998174028653492,2024-01-15 05:21:20,21.333333333333332,3.543259826173682,0.8445629453784976,29.833333333333332,719.2767099869769,2024-01-15 05:00:12.502096,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,5,2024-01-15
PART_011,Engine_Block,BATCH_001,2024-01-15 05:30:00,2024-01-15 05:59:50,4.996614810112615,2024-01-15 05:52:00,22.0,3.5295140105403124,0.8711549968894746,29.833333333333332,712.6237373472915,2024-01-15 05:37:22.632442,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,5,2024-01-15
PART_012,Engine_Block,BATCH_001,2024-01-15 06:00:00,2024-01-15 06:29:50,5.040806262915908,2024-01-15 06:21:40,21.666666666666668,3.544183582340727,0.8562550149233804,29.833333333333332,710.9843450469648,2024-01-15 06:01:34.624587,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,6,2024-01-15
PART_013,Engine_Block,BATCH_001,2024-01-15 06:30:00,2024-01-15 06:59:50,5.060974726936392,2024-01-15 06:51:10,21.166666666666668,3.541493993093215,0.8776821561446035,29.833333333333332,712.3180576499452,2024-01-15 06:33:59.430731,0.8338982812321089,2024-01-15 02:54:16.286117,False,False,False,False,88.34,88.3,6,2024-01-15
PART_014,Engine_Block,BATCH_001,2024-01-15 07:00:00,2024-01-15 07:29:50,5.070946865843467,2024-01-15 07:21:10,21.166666666666668,3.541537324330582,0.8304239773928013,29.833333333333332,733.1160202972392,2024-01-15 07:02:14.999206,1.125367197264842,2024-01-15 06:52:35.414559,False,False,True,False,88.34,68.3,7,2024-01-15
PART_015,Engine_Block,BATCH_001,2024-01-15 07:30:00,2024-01-15 07:59:50,5.0484827396464045,2024-01-15 07:51:50,21.833333333333332,3.5351330626437156,0.8532317168123542,29.833333333333332,711.5406635989704,2024-01-15 07:36:06.605549,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,7,2024-01-15
PART_016,Engine_Block,BATCH_001,2024-01-15 08:00:00,2024-01-15 08:29:50,5.078389806559824,2024-01-15 08:21:00,21.0,3.538116150022562,0.8598039621177482,29.833333333333332,716.2920356620048,2024-01-15 08:00:48.709023,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,8,2024-01-15
PART_017,Engine_Block,BATCH_001,2024-01-15 08:30:00,2024-01-15 08:59:50,5.061185517033465,2024-01-15 08:51:00,21.0,3.546839057936512,0.8557525471441795,29.833333333333332,742.2815443334965,2024-01-15 08:39:20.739345,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,8,2024-01-15
PART_018,Engine_Block,BATCH_001,2024-01-15 09:00:00,2024-01-15 09:29:50,5.068404924088191,2024-01-15 09:21:00,21.0,3.540409683762844,0.8477083645251638,29.833333333333332,729.4376878479932,2024-01-15 09:02:53.582590,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,9,2024-01-15
PART_019,Engine_Block,BATCH_001,2024-01-15 09:30:00,2024-01-15 09:59:50,4.999962773772685,2024-01-15 09:51:10,21.166666666666668,3.5458461167232636,0.8559216176158914,29.833333333333332,729.2457786586285,2024-01-15 09:32:12.900469,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,9,2024-01-15
PART_020,Engine_Block,BATCH_001,2024-01-15 10:00:00,2024-01-15 10:29:50,5.0282404307324695,2024-01-15 10:21:10,21.166666666666668,3.5346384885825413,0.8852771943513609,29.833333333333332,740.2402853637926,2024-01-15 10:09:01.934175,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,10,2024-01-15
PART_021,Engine_Block,BATCH_001,2024-01-15 10:30:00,2024-01-15 10:59:50,5.060218537905112,2024-01-15 10:51:10,21.166666666666668,3.5455992160269565,0.8560889037627868,29.833333333333332,719.0023972468573,2024-01-15 10:31:27.513335,1.125367197264842,2024-01-15 06:52:35.414559,False,False,False,False,88.34,88.3,10,2024-01-15
PART_022,Engine_Block,BATCH_001,2024-01-15 11:00:00,2024-01-15 11:29:50,4.974015219908764,2024-01-15 11:21:50,21.833333333333332,3.531878794141021,0.8647989308134943,29.833333333333332,702.7319679729325,2024-01-15 11:02:34.682350,,,True,False,False,True,88.34,48.3,11,2024-01-15
PART_023,Engine_Block,BATCH_001,2024-01-15 11:30:00,2024-01-15 11:59:50,5.0500683228145435,2024-01-15 11:51:00,21.0,3.5425603006103907,0.8646477414537157,29.833333333333332,728.2161575223716,2024-01-15 11:34:59.815751,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,11,2024-01-15
PART_024,Engine_Block,BATCH_001,2024-01-15 12:00:00,2024-01-15 12:29:50,5.06427204771195,2024-01-15 12:21:20,21.333333333333332,3.5437202462077426,0.8654672392609001,29.833333333333332,717.9513936572862,2024-01-15 12:03:44.403120,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,12,2024-01-15
PART_025,Engine_Block,BATCH_001,2024-01-15 12:30:00,2024-01-15 12:59:50,5.047228138549049,2024-01-15 12:51:10,21.166666666666668,3.5409503690254933,0.8558181548227993,29.833333333333332,742.3996519223144,2024-01-15 12:30:02.765962,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,12,2024-01-15
PART_026,Engine_Block,BATCH_001,2024-01-15 13:00:00,2024-01-15 13:29:50,5.051188815081041,2024-01-15 13:21:00,21.0,3.5382081505675167,0.8688662162451015,29.833333333333332,701.6834877128638,2024-01-15 13:06:29.808503,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,13,2024-01-15
PART_027,Engine_Block,BATCH_001,2024-01-15 13:30:00,2024-01-15 13:59:50,4.974963129430709,2024-01-15 13:51:50,21.833333333333332,3.5360623691388393,0.8657529991017202,29.833333333333332,710.9889671301564,2024-01-15 13:30:56.488051,0.8846271380109402,2024-01-15 11:12:10.641536,True,False,False,False,88.34,68.3,13,2024-01-15
PART_028,Engine_Block,BATCH_001,2024-01-15 14:00:00,2024-01-15 14:29:50,5.095364891821328,2024-01-15 14:21:00,21.0,3.537991286472823,0.8528673918808404,29.833333333333332,714.5045540918995,2024-01-15 14:02:12.221814,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,14,2024-01-15
PART_029,Engine_Block,BATCH_001,2024-01-15 14:30:00,2024-01-15 14:59:50,5.038177479770797,2024-01-15 14:51:20,21.333333333333332,3.525767972810094,0.8774578336844526,29.833333333333332,719.1901209059783,2024-01-15 14:31:23.290009,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,88.34,88.3,14,2024-01-15
PART_030,Gear_Casing,BATCH_002,2024-01-15 15:00:00,2024-01-15 15:29:50,5.07016798579058,2024-01-15 15:21:30,21.5,3.5443929958042255,0.8521153110122116,29.833333333333332,737.4043727113026,2024-01-15 15:00:47.419605,0.8846271380109402,2024-01-15 11:12:10.641536,False,False,False,False,83.08,83.0,15,2024-01-15
PART_031,Gear_Casing,BATCH_002,2024-01-15 15:30:00,2024-01-15 15:59:50,5.009673249213671,2024-01-15 15:51:40,21.666666666666668,3.5276496167854727,0.8635981702263177,29.833333333333332,723.5719287899494,2024-01-15 15:34:59.134584,,,False,False,False,True,83.08,63.0,15,2024-01-15
PART_032,Gear_Casing,BATCH_002,2024-01-15 16:00:00,2024-01-15 16:29:50,5.002657009187061,2024-01-15 16:22:30,22.5,3.5516791944682824,0.8563704200469515,29.833333333333332,743.9964330573642,2024-01-15 16:03:42.037238,0.9554973331506094,2024-01-15 15:38:45.831718,False,False,False,False,83.08,83.0,16,2024-01-15
PART_033,Gear_Casing,BATCH_002,2024-01-15 16:30:00,2024-01-15 16:59:50,5.006167437115575,2024-01-15 16:51:30,21.5,3.5302101176025036,0.8600815936564208,29.833333333333332,760.1628794275664,2024-01-15 16:34:34.959289,0.9554973331506094,2024-01-15 15:38:45.831718,False,False,False,False,83.08,83.0,16,2024-01-15
PART_034,Gear_Casing,BATCH_002,2024-01-15 17:00:00,2024-01-15 17:29:50,5.035039550733614,2024-01-15 17:21:10,21.166666666666668,3.5391555708841818,0.8472771501396609,29.833333333333332,733.9072592914143,2024-01-15 17:07:12.771329,0.9554973331506094,2024-01-15 15:38:45.831718,False,False,False,False,83.08,83.0,17,2024-01-15
